timestamp,open,high,low,close,adjusted close,volume,dividend amount
2011-04-08,164.4200,164.7500,163.1600,164.0500,102.9450,17602700,0.0000
2011-04-01,161.5400,164.4200,161.1200,164.2700,103.0830,19066300,0.0000
2011-03-25,157.6400,162.7400,157.0700,162.1800,101.7715,25371800,0.0000
2011-03-18,161.1600,161.9804,151.7100,155.8900,97.8244,41798000,0.0000
2011-03-11,161.6000,167.7200,158.8500,162.4300,101.9284,31095800,0.0000
2011-03-04,162.3600,164.3100,159.4100,161.8300,101.5519,21537300,0.0000
2011-02-25,163.5700,164.2600,159.0300,162.2800,101.8342,21433300,0.0000
2011-02-18,164.1800,164.8400,162.5200,164.8400,103.4407,18590000,0.0000
2011-02-11,164.0800,166.2500,163.1800,163.8500,102.8195,26097300,0.6500
2011-02-04,159.1800,164.2000,158.6800,164.0000,102.5123,25371100,0.0000
2011-01-28,155.4200,164.3500,155.3300,159.2100,99.5182,32502900,0.0000
2011-01-21,149.8200,156.7800,149.3800,155.5000,97.1992,35766800,0.0000
2011-01-14,147.5800,150.0000,146.7500,150.0000,93.7612,19878500,0.0000
2011-01-07,147.2100,148.8600,146.6400,147.9300,92.4673,23486200,0.0000
2010-12-31,145.1200,147.5000,145.0000,146.7600,91.7360,14684300,0.0000
2010-12-23,145.3900,146.4000,144.3300,145.8900,91.1922,13585400,0.0000
2010-12-17,145.1400,146.0100,144.1500,145.0000,90.6359,28194800,0.0000
2010-12-10,144.5400,146.2999,143.5200,144.8200,90.5234,21020900,0.0000
2010-12-03,143.5300,145.8500,141.2800,145.3800,90.8734,28622500,0.0000
2010-11-26,144.0000,146.4400,142.3300,143.9000,89.9483,15256400,0.0000
2010-11-19,143.8900,145.3500,141.1800,145.0500,90.6671,24207800,0.0000
2010-11-12,145.3500,147.5300,143.3500,143.7400,89.8483,24816000,0.6500
2010-11-05,143.6400,146.9300,142.3200,146.9200,91.4302,27101400,0.0000
2010-10-29,140.4200,144.0000,138.5300,143.6000,89.3642,32583300,0.0000
2010-10-22,140.9000,143.0300,136.7000,139.6700,86.9185,41753800,0.0000
2010-10-15,138.7900,142.1000,138.2700,141.0600,87.7835,31299400,0.0000
